,x,y,z,,,
523,92425.99335,438320.9508,12.8,0,0,0
524,92432.21052,438315.9162,12.8,0,0,0
525,92432.21052,438315.9162,9.6,0,0,0
526,92435.3191,438313.3989,1.24E-12,0,0,0
527,92438.42769,438310.8817,6.4,0,0,0
528,92516.14228,438247.9496,3.2,0,0,0
529,92519.25087,438245.4323,12.8,0,0,0
530,92519.25087,438245.4323,3.2,0,0,0
531,92522.35945,438242.9151,3.2,0,0,0
532,92525.46804,438240.3978,6.4,0,0,0
533,92528.57662,438237.8805,19.2,0,0,0
534,92528.57662,438237.8805,16,0,0,0
535,92528.57662,438237.8805,9.6,0,0,0
536,92528.57662,438237.8805,3.2,0,0,0
537,92531.6852,438235.3632,12.8,0,0,0
538,92420.36749,438320.3595,9.6,0,0,0
539,92420.36749,438320.3595,6.17E-12,0,0,0
540,92423.47607,438317.8422,16,0,0,0
541,92423.47607,438317.8422,6.4,0,0,0
542,92426.58465,438315.3249,3.2,0,0,0
543,92429.69324,438312.8076,9.6,0,0,0
544,92432.80182,438310.2904,9.6,0,0,0
545,92432.80182,438310.2904,3.2,0,0,0
546,92513.625,438244.841,6.4,0,0,0
547,92519.84217,438239.8065,9.6,0,0,0
548,92522.95075,438237.2892,9.6,0,0,0
549,92529.16792,438232.2546,19.2,0,0,0
550,92529.16792,438232.2546,9.6,0,0,0
551,92529.16792,438232.2546,-7.03E-12,0,0,0
552,92532.27651,438229.7373,22.4,0,0,0
553,92532.27651,438229.7373,19.2,0,0,0
554,92532.27651,438229.7373,12.8,0,0,0
555,92417.85021,438317.2509,16,0,0,0
556,92417.85021,438317.2509,3.2,0,0,0
557,92420.95879,438314.7336,6.4,0,0,0
558,92420.95879,438314.7336,3.2,0,0,0
559,92420.95879,438314.7336,-2.42E-12,0,0,0
560,92427.17596,438309.699,3.2,0,0,0
561,92430.28454,438307.1818,1.50E-12,0,0,0
562,92511.10772,438241.7324,19.2,0,0,0
563,92517.32489,438236.6979,1.59E-11,0,0,0
564,92523.54206,438231.6633,22.4,0,0,0
565,92526.65064,438229.146,25.6,0,0,0
566,92529.75922,438226.6288,16,0,0,0
567,92421.55009,438309.1077,3.2,0,0,0
568,92430.87584,438301.5559,9.6,0,0,0
569,92511.69902,438236.1066,9.6,0,0,0
570,92511.69902,438236.1066,6.4,0,0,0
571,92514.80761,438233.5893,9.6,0,0,0
572,92517.91619,438231.072,9.6,0,0,0
573,92524.13336,438226.0375,6.4,0,0,0
574,92524.13336,438226.0375,3.2,0,0,0
575,92527.24194,438223.5202,1.98E-12,0,0,0
576,92412.81564,438311.0337,6.4,0,0,0
577,92415.92423,438308.5164,12.8,0,0,0
578,92419.03281,438305.9992,6.4,0,0,0
579,92422.14139,438303.4819,6.4,0,0,0
580,92425.24998,438300.9646,12.8,0,0,0
581,92506.07316,438235.5153,22.4,0,0,0
582,92506.07316,438235.5153,9.6,0,0,0
